2024-11-19 18:23:17 INFO  MapOutputTrackerMasterEndpoint:54 - Asked to send map output locations for shuffle 1 to 10.158.82.68:38930
2024-11-19 18:23:20 INFO  TaskSetManager:54 - Starting task 1.0 in stage 5.0 (TID 9, 10.158.82.68, executor 0, partition 1, NODE_LOCAL, 7653 bytes)
2024-11-19 18:23:20 INFO  TaskSetManager:54 - Finished task 0.0 in stage 5.0 (TID 8) in 2555 ms on 10.158.82.68 (executor 0) (1/2)
2024-11-19 18:23:20 INFO  TaskSetManager:54 - Finished task 1.0 in stage 5.0 (TID 9) in 832 ms on 10.158.82.68 (executor 0) (2/2)
2024-11-19 18:23:20 INFO  TaskSchedulerImpl:54 - Removed TaskSet 5.0, whose tasks have all completed, from pool 
2024-11-19 18:23:20 INFO  DAGScheduler:54 - ResultStage 5 (count at ShortestPath.java:21) finished in 3.392 s
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Job 2 finished: count at ShortestPath.java:21, took 11.007333 s
2024-11-19 18:23:20 INFO  SparkContext:54 - Starting job: count at ShortestPath.java:21
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Registering RDD 12 (flatMapToPair at ShortestPath.java:66)
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Got job 3 (count at ShortestPath.java:21) with 2 output partitions
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Final stage: ResultStage 9 (count at ShortestPath.java:21)
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Parents of final stage: List(ShuffleMapStage 8)
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Missing parents: List(ShuffleMapStage 8)
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Submitting ShuffleMapStage 8 (MapPartitionsRDD[12] at flatMapToPair at ShortestPath.java:66), which has no missing parents
2024-11-19 18:23:20 INFO  MemoryStore:54 - Block broadcast_6 stored as values in memory (estimated size 3.8 KB, free 366.0 MB)
2024-11-19 18:23:20 INFO  MemoryStore:54 - Block broadcast_6_piece0 stored as bytes in memory (estimated size 2.1 KB, free 366.0 MB)
2024-11-19 18:23:20 INFO  BlockManagerInfo:54 - Added broadcast_6_piece0 in memory on cssmpi8h.uwb.edu:34382 (size: 2.1 KB, free: 366.3 MB)
2024-11-19 18:23:20 INFO  SparkContext:54 - Created broadcast 6 from broadcast at DAGScheduler.scala:1039
2024-11-19 18:23:20 INFO  DAGScheduler:54 - Submitting 2 missing tasks from ShuffleMapStage 8 (MapPartitionsRDD[12] at flatMapToPair at ShortestPath.java:66) (first 15 tasks are for partitions Vector(0, 1))
2024-11-19 18:23:20 INFO  TaskSchedulerImpl:54 - Adding task set 8.0 with 2 tasks
2024-11-19 18:23:20 INFO  TaskSetManager:54 - Starting task 0.0 in stage 8.0 (TID 10, 10.158.82.68, executor 0, partition 0, NODE_LOCAL, 7642 bytes)
2024-11-19 18:23:20 INFO  BlockManagerInfo:54 - Added broadcast_6_piece0 in memory on 10.158.82.68:41061 (size: 2.1 KB, free: 366.3 MB)
2024-11-19 18:23:25 INFO  TaskSetManager:54 - Starting task 1.0 in stage 8.0 (TID 11, 10.158.82.68, executor 0, partition 1, NODE_LOCAL, 7642 bytes)
